"date","pricetoearnings","pricetotangiblebook","adjdilutedeps","dividendyield","fcf_yield","pricetorevenue","pricetoearnings_10yavg","pricetotangiblebook_10yavg","ebitmargin","ebitdamargin","profitmargin","freecashflow","totaloperatingincome","roa","roe_short","roe_long","roe_ratio","fcf_margin_short","fcf_margin_long","fcf_margin_ratio","ebitdagrowth","ebitgrowth","epsgrowth","tangbookvaluepershare","revenuegrowth_short","revenuegrowth_long","revenuegrowth_ratio","fcffgrowth_short","fcffgrowth_long","fcffgrowth_ratio","ltdebttoequity","ebittointerestex","netdebttoebitda_short","netdebttoebitda_long","netdebttoebitda_ratio"
2018-10-01,74.5543,25.8951,6.05,0,-1.8235737314,3.2247,4.53653357023768,9.96578663793104,0.049556,0.049556,0.041819,-911786865.7,3.787e+09,0.066262,0.375383173050746,0.221998757667273,1.69092465649453,4.30528710570502,-7.71788273743293,-0.557832666311928,-0.364233,0.673041,0.613333,58.002,0.230755131930308,0.277850976476919,0.830499625577085,4.83170937199759,-55.1638283924246,-0.0875883620263947,0.5395,9.2927,-0.635649016655674,-0.475013844481443,1.33816945346002
2018-07-01,112.7278,40.8393,5.75,0,-11.616867739521,4.5416,6.85934210366188,15.717095135468,0.064179,0.064179,0.050958,-5820050737.5,3.724e+09,0.086959,0.328750798392409,0.212788870422393,1.5449623739241,-4.41750966884395,-6.97292704977572,0.633523000787171,0.067313,6.410204,10.057692,49.0459081836327,0.299379200440873,0.276858552619443,1.08134351497671,-59.1936355352056,-52.4639117306489,1.12827338988956,0.6309,10.1425,-0.413716218172767,-0.515772081948494,0.802129918722669
2018-04-01,135.4422,40.3734,5.07,0,-40.4774756238,4.0836,8.24148422192745,15.5377924876847,0.053965,0.053965,0.047914,-20238737811.9,2.983e+09,0.089888,0.282436508866866,0.20314732603554,1.39030384686164,-10.8925628890887,-6.18737998254662,1.76044835129157,-0.160094,2.730719,11.675,42.102,0.343930006570543,0.275463399578174,1.24855064991289,-99.3164350342156,-49.6765089041939,1.99926358001037,0.704,8.3207,-0.286442340122086,-0.556842033975322,0.514405024486317
2018-01-01,183.0308,39.8769,3.27,0,-43.5093327379518,3.7308,11.1371895194168,15.346713362069,0.042436,0.114357,0.031915,-21667647703.5,1.927e+09,0.059478,0.235312455584869,0.193524245089252,1.21593268831171,-15.1088096223654,-5.40199575814461,2.79689401821277,0.673452,1.05698,1.209459,36.2951807228916,0.363135434847483,0.274016689816001,1.32523108388516,-114.181712123452,-46.9016704332082,2.43449137458881,0.7831,6.5636,-0.258938470948437,-0.597572415126781,0.433317309155746
2017-10-01,190.0919,40.1524,3.75,0,-37.2394408951318,3.2415,11.5668484015042,15.4527401477833,0.035466,0.093329,0.030702,-18359044361.3,2.126e+09,0.050866,0.181327982874105,0.184042136602054,0.98525254173821,-17.2944374294496,-4.63070215861919,3.73473327306514,0.581721,0.688189,1.45098,29.1257606490872,0.354655694296609,0.27281610253178,1.29998079660747,-105.486592999078,-44.1455004939879,2.38952083040589,0.893,6.3432,-0.33583538838359,-0.638678776042447,0.525828320872949
2017-07-01,246.5768,41.7061,0.52,0,-34.6856070311741,2.9469,15.0038821482031,16.0506850369458,0.011202,0.077771,0.005852,-17134689873.4,3.47e+08,0.010132,0.132326913695837,0.17537002479588,0.754558333728111,-17.2708643129456,-3.93213934684737,4.39223099425323,0.276069,-0.15952,0,23.0506072874494,0.328446804002426,0.272248967145506,1.20642075320302,-79.2320969623134,-41.5708995797986,1.90595098405848,1.0021,2.1491,-0.488352558413261,-0.678596719099395,0.719650632943498
2017-04-01,247.7919,25.119,0.4,0,-2.13080153333333,3.1724,15.0778194253447,9.66710283251232,0.020155,0.089527,0.00519,-1048354354.4,6.28e+08,0.010195,0.107092314519239,0.166927593526939,0.64154950213163,-13.014892056257,-3.26624784853776,3.98466150144838,0.068553,-0.398112,-0.775281,38.5365853658537,0.288566106020482,0.27189233126282,1.06132491740469,-29.9419459608914,-39.0995678820649,0.765787132256925,0.331,5.3497,-0.747558648499621,-0.717610850885457,1.04173264322468
2017-01-01,168.2435,24.335,1.48,0,0.092866779387755,3.0469,10.2374012729552,9.36537869458128,0.029484,0.097665,0.020272,45504721.9,1.005e+09,0.04068,0.0989089289448302,0.158052757303883,0.6257969214334,-7.7604991251065,-2.5773461916922,3.01104257942594,0.170863,-0.085938,0.383178,36.430612244898,0.253066707375503,0.271259875871382,0.932930852978398,15.9122691040025,-36.5974355635814,-0.434791915306685,0.3548,7.5755,-0.986604188725428,-0.756601240724857,1.30399493897237
2016-10-01,153.0734,23.4138,1.53,0,3.33553648119835,2.6689,9.31432013727471,9.01085283251231,0.029035,0.081548,0.017124,1614399656.9,1.255e+09,0.031436,0.129755272862325,0.148892493082493,0.871469542728623,-1.8384750709763,-1.86952824248281,0.983389835574095,0.278495,0.223507,0.514851,32.0268595041322,0.252847556164008,0.270581060310263,0.934461399013217,10.2827893294064,-34.0361803283196,-0.302113493059933,0.399,9.5489,-1.07290812010646,-0.796480995196503,1.34706054077506
2016-07-01,193.0111,29.0753,0.52,0,-2.24366430804124,3.1728,11.744477978849,11.1896936576355,0.017821,0.081494,0.007703,-1088177189.4,5.75e+08,0.015511,0.158959235486893,0.140101291400876,1.13460221456531,0.0760092742072935,-1.1860337931698,-0.0640869380324743,0.367881,0.665714,2.058824,28.7979381443299,0.263596465815772,0.270128563287327,0.975818560643632,5.73507637670785,-31.5282434074309,-0.181902819722463,0.4614,4.9407,-1.06302069606563,-0.83598477349567,1.27157901647013
